timestamp,heart_rate,steps,distance(miles),active_calories_burned
2021-03-01 16:01:00,72,6863,3.336412250850753,274.52
2021-03-01 16:02:00,70,6885,3.3471074380165287,275.40000000000003
2021-03-01 16:03:00,73,6892,3.35051045211473,275.68
2021-03-01 16:04:00,78,6902,3.355371900826446,276.08
2021-03-01 16:05:00,88,6917,3.3626640738940203,276.68
2021-03-01 16:06:00,76,6923,3.36558094312105,276.92
2021-03-01 16:07:00,63,6935,3.3714146815751094,277.40000000000003
2021-03-01 16:08:00,86,6957,3.382109868740885,278.28000000000003
2021-03-01 16:09:00,87,6980,3.393291200777832,279.2
2021-03-01 16:10:00,82,7005,3.405444822557122,280.2
2021-03-01 16:11:00,101,7029,3.4171122994652405,281.16
2021-03-01 16:12:00,95,7029,3.4171122994652405,281.16
2021-03-01 16:13:00,80,7037,3.4210014584346133,281.48
2021-03-01 16:14:00,71,7060,3.4321827904715603,282.40000000000003
2021-03-01 16:15:00,74,7067,3.4355858045697616,282.68
2021-03-01 16:16:00,82,7080,3.4419056878949927,283.2
2021-03-01 16:17:00,84,7085,3.44433641225085,283.40000000000003
2021-03-01 16:18:00,57,7087,3.445308701993194,283.48
2021-03-01 16:19:00,84,7090,3.4467671366067085,283.6
2021-03-01 16:20:00,73,7110,3.456490034030141,284.40000000000003
2021-03-01 16:21:00,76,7112,3.457462323772484,284.48
